symbol,num_articles_query,num_articles_global,num_articles_expected,score
FOXO3,697,15009,66.4217637680025,10.49354850669845
EIF2B5,23,496,2.1950293043460087,10.478220019414577
SLC36A2,14,302,1.3364896167590619,10.475202967868531
TGFBRAP1,5,108,0.4779499291721148,10.461346879286694
CARHSP1,5,109,0.48237539147926406,10.365371219843697
LAMTOR5,47,1027,4.54494978944224,10.341148346496448
PHLPP2,32,700,3.097823615004448,10.329832804232804
IARS,139,3042,13.4622563383479,10.325163665473495
ZHX2,1020,22343,98.87810432863483,10.315731747949892
BNIP3,182,3996,17.684147379368248,10.291703416379343
SLC35B1,2,44,0.1947203415145653,10.271140572390573
MIR4661,2,44,0.1947203415145653,10.271140572390573
MFSD12,3,66,0.29208051227184795,10.271140572390573
FBXO40,4,88,0.3894406830291306,10.271140572390573
FBXO16,2,44,0.1947203415145653,10.271140572390573
LAPTM4B,23,507,2.2437093897246503,10.250881912484477
PYCR2,7,155,0.6859466576081277,10.204875149342893
FOXO1,649,14377,63.62487158988421,10.200413514126216
EIF4A2,70,1553,6.872742963002725,10.185161932698957
CRYL1,5,111,0.4912263160935625,10.178607774441108
EIF2S3,39,871,3.854577669526963,10.117839966832504
TMEM135,3,67,0.2965059745789972,10.117839966832504
PIM2,51,1143,5.058303417071548,10.082431952950326
MANSC1,2,45,0.1991458038217145,10.042893004115227
TRIM16,13,293,1.296660455994719,10.025754961446086
MAP2K7,2093,47279,209.23143241970757,10.003277116611947
EFNA5,108,2441,10.802553491751224,9.997636214666121
RPL18A,8,181,0.8010086775940073,9.987407407407407
GLMN,8,181,0.8010086775940073,9.987407407407407
TRMT11,3,68,0.3009314368861464,9.96904820261438
NAA20,4,91,0.40271706995057827,9.932531542531542
NUFIP1,7,160,0.7080739691438738,9.885972800925927
RPL26L1,3,69,0.30535689919329556,9.824569243156201
DNASE1L2,3,69,0.30535689919329556,9.824569243156201
MIR588,4,92,0.4071425322577274,9.824569243156201
ZNF830,2,46,0.2035712661288637,9.824569243156201
MIR6785,2,46,0.2035712661288637,9.824569243156201
MYCNOS,6,138,0.6107137983865911,9.824569243156201
EIF2A,396,9154,40.51068195964388,9.775199548466972
PLEKHF1,6,139,0.6151392606937404,9.75388888888889
RUBCN,44,1021,4.518397015599345,9.73796677186491
EIF6,30,697,3.084547228083,9.725900685477443
ATP6V1C2,4,93,0.41156799456487664,9.718928713659897
MIR5787,3,70,0.3097823615004448,9.684218253968254
NAIF1,3,70,0.3097823615004448,9.684218253968254
ATP7A,86,2011,8.899604699677065,9.663350553437574
ATP6V1D,5,117,0.5177790899364577,9.656627888572334
GSK3B,864,20292,89.80148113667181,9.62122215651488
CCDC112,2,47,0.20799672843601294,9.61553585500394
PPTC7,2,47,0.20799672843601294,9.61553585500394
TMEM154,2,47,0.20799672843601294,9.61553585500394
ZNF706,2,47,0.20799672843601294,9.61553585500394
PCDHGA9,2,47,0.20799672843601294,9.61553585500394
FOXK1,33,776,3.4341587503477884,9.609340277777777
KLLN,9,212,0.9381980091156329,9.592857704402515
EIF3B,19,448,1.982607113602847,9.583340980489417
ACSS1,12,283,1.2524058329232268,9.581558696505693
AGPAT1,14,331,1.4648280236663889,9.557435940472194
LINC01419,3,71,0.31420782380759404,9.547820813771517
USHBP1,4,95,0.42041891917917507,9.514319688109163
MFNG,5,119,0.5266300145507562,9.494331621537503
SNORA68,2,48,0.21242219074316215,9.415212191358025
ABHD3,2,48,0.21242219074316215,9.415212191358025
MIR548J,2,48,0.21242219074316215,9.415212191358025
MIR3182,4,96,0.4248443814863243,9.415212191358025
PRCC,44,1060,4.690990045578165,9.379683088749125
ATP6V1A,14,338,1.4958062598164332,9.359500876616263
EIF5,30,725,3.2084601726831785,9.35027969348659
EIF1B,5,121,0.5354809391650546,9.337400520355066
HECTD2,4,97,0.42926984379347355,9.318148148148147
GPLD1,104,2523,11.16544140093746,9.314454867074764
PPP6C,23,558,2.46940796738926,9.313973350590734
ARL8B,11,267,1.1815984360088394,9.30942329033153
COL11A2,648,15837,70.08604655832207,9.245777609395718
TKTL2,2,49,0.21684765305031137,9.22306500377929
AP3M2,2,49,0.21684765305031137,9.22306500377929
SLFN5,5,123,0.5443318637793529,9.185572869617586
TDRG1,5,123,0.5443318637793529,9.185572869617586
UBE3C,8,197,0.8718160745083947,9.176247414927618
ATF4,340,8373,37.05439589776035,9.175699448403376
SPRR2E,3,74,0.32748421072904166,9.160746996996997
URB1,3,74,0.32748421072904166,9.160746996996997
OTUD7B,16,395,1.7480576113239386,9.153016408813876
MTFP1,10,247,1.0930891898658552,9.148384315489578
GAB1,75,1855,8.209232579761787,9.136054956573824
PIM3,26,646,2.8588486504183903,9.094570290104347
MIR4310,2,50,0.22127311535746055,9.038603703703705
PLPPR3,2,50,0.22127311535746055,9.038603703703705
PCNX1,2,50,0.22127311535746055,9.038603703703705
MIR3154,2,50,0.22127311535746055,9.038603703703705
RAB11FIP4,4,100,0.4425462307149211,9.038603703703705
MAP1LC3B2,3,75,0.3319096730361909,9.038603703703702
MIR99A,82,2053,9.08547411657733,9.025395807400193
EIF2AK3,637,15977,70.70561128132296,9.009185953650965
EVA1A,5,126,0.5576082507008007,8.966868753674309
USP53,4,101,0.44697169302207035,8.94911257792446
LHFPL6,4,101,0.44697169302207035,8.94911257792446
PICSAR,4,101,0.44697169302207035,8.94911257792446
EIF3A,119,3015,13.342768856054873,8.918688563356058
ATP6V0E1,5,127,0.5620337130079499,8.896263487897345
RPAP1,2,51,0.22569857766460977,8.86137618010167
LINC00160,2,51,0.22569857766460977,8.86137618010167
SLC7A8,15,383,1.6949520636381479,8.849807803887439
MTRNR2L5,5,128,0.566459175315099,8.826761429398148
VPS8,3,77,0.34076059765048927,8.803834776334776
RPL36A,6,154,0.6815211953009785,8.803834776334776
ACOT9,3,77,0.34076059765048927,8.803834776334776
STBD1,4,103,0.4558226176363688,8.775343401654082
ATG9A,27,699,3.093398152697299,8.728265379113019
MRPL10,3,78,0.34518605995763846,8.6909650997151
TRIM55,6,156,0.6903721199152769,8.6909650997151
RASL10B,2,52,0.230124039971759,8.690965099715099
ATP5D,7,182,0.8054341399011565,8.690965099715099
STYX,4,104,0.460248079943518,8.690965099715099
PCDHGC3,4,104,0.460248079943518,8.690965099715099
PFKFB2,13,340,1.5046571844307317,8.63984177559913
MIR567,6,157,0.6947975822224262,8.635608634111819
STK24,49,1284,5.6822936023795885,8.62327845563632
MIR4732,3,79,0.3496115222647877,8.58095288326301
ZNF121,3,79,0.3496115222647877,8.58095288326301
PRKCZ,115,3044,13.4711072629622,8.53678897770964
BEND2,2,53,0.23454950227890822,8.526984626135569
RNF122,2,53,0.23454950227890822,8.526984626135569
HSPA12B,4,106,0.46909900455781645,8.526984626135569
ATP6V1C1,8,212,0.9381980091156329,8.526984626135569
PRPS2,7,186,0.8231359891297533,8.50406262445241
PTPA,369,9817,43.44476346928381,8.493543767614003
FAXDC2,3,80,0.3540369845719369,8.473690972222222
CABIN1,223,5949,26.327075265230658,8.47036739757071
DGKD,7,187,0.8275614514369025,8.458586353733413
DEUP1,4,107,0.4735244668649656,8.4472931810315
FOXO4,75,2007,8.881902850448467,8.444136494491502
CCZ1,6,161,0.712499431451023,8.421059351276742
PPP4R4,2,54,0.2389749645860574,8.369077503429356
MIR4271,2,54,0.2389749645860574,8.369077503429356
BZW2,3,81,0.3584624468790861,8.369077503429356
SMAD5-AS1,2,54,0.2389749645860574,8.369077503429356
LY6G5C,2,54,0.2389749645860574,8.369077503429356
UBE2Q2,3,81,0.3584624468790861,8.369077503429356
ANKS6,4,108,0.4779499291721148,8.369077503429356
RNF167,2,54,0.2389749645860574,8.369077503429356
PCNP,3,81,0.3584624468790861,8.369077503429356
NOSIP,4,108,0.4779499291721148,8.369077503429356
ERG28,2,54,0.2389749645860574,8.369077503429356
MAP1A,19,514,2.2746876258746944,8.35279525147716
GCN1,7,190,0.8408378383583501,8.325029727095517
GSK3A,612,16688,73.85211498170604,8.286831056248003
CTDNEP1,3,82,0.36288790918623537,8.267015582655826
SLC38A8,3,82,0.36288790918623537,8.267015582655826
SREBF1,291,7961,35.23110542721487,8.259746507278539
RASGRF1,55,1508,6.6735971591810115,8.241432422143628
TAL2,7,192,0.8496887629726486,8.238310667438272
MIR199A2,59,1628,7.204652636038917,8.189152618527618
TM4SF5,5,138,0.6107137983865911,8.187141035963501
PPP2CA,55,1521,6.73112816917395,8.170992828791974
VHL,384,10624,47.01611155115322,8.167412985274431
PPP4R3A,4,111,0.4912263160935625,8.142886219552885
ATG16L1,125,3469,15.351928743500615,8.142299387164622
